Drug,Feature Set,Tissue,Model,Metric,P-str,P,adj_p
Atezo,COSMIC,BLCA,Logistic Regression,Accuracy,0.5796566830998562,0.5796566830998562,0.6762661302831656
Atezo,KEGG,BLCA,Logistic Regression,Accuracy,0.26802921734389484,0.26802921734389484,0.614202589936694
Atezo,CGL,BLCA,Logistic Regression,Accuracy,0.35097290853525365,0.35097290853525365,0.614202589936694
Atezo,MDSIG-DB,BLCA,Logistic Regression,Accuracy,0.037548163199805994,0.037548163199805994,0.262837142398642
Atezo,IMPRES,BLCA,Logistic Regression,Accuracy,0.27237663455972916,0.27237663455972916,0.614202589936694
Atezo,ALL,BLCA,Logistic Regression,Accuracy,0.5340421654903563,0.5340421654903563,0.6762661302831656
Atezo,IMM. FEAT,BLCA,Logistic Regression,Accuracy,0.7631622815631236,0.7631622815631236,0.7631622815631236
Atezo,COSMIC,BLCA,Logistic Regression,Balanced Accuracy,0.10174431220119169,0.10174431220119169,0.11870169756805699
Atezo,KEGG,BLCA,Logistic Regression,Balanced Accuracy,<0.005,2.0841989825630437e-07,1.4589392877941307e-06
Atezo,CGL,BLCA,Logistic Regression,Balanced Accuracy,<0.005,0.0015395367355801415,0.0035922523830203305
Atezo,MDSIG-DB,BLCA,Logistic Regression,Balanced Accuracy,<0.005,8.254215600704418e-05,0.00028889754602465467
Atezo,IMPRES,BLCA,Logistic Regression,Balanced Accuracy,<0.005,0.004620695713689031,0.008086217498955805
Atezo,ALL,BLCA,Logistic Regression,Balanced Accuracy,0.011612695244566384,0.011612695244566384,0.016257773342392937
Atezo,IMM. FEAT,BLCA,Logistic Regression,Balanced Accuracy,0.4046501729523607,0.4046501729523607,0.4046501729523607
Atezo,COSMIC,BLCA,Logistic Regression,Area Under ROC Curve,<0.005,0.0035760194198396077,0.004172022656479543
Atezo,KEGG,BLCA,Logistic Regression,Area Under ROC Curve,<0.005,2.3916167897264747e-06,8.370658764042663e-06
Atezo,CGL,BLCA,Logistic Regression,Area Under ROC Curve,<0.005,2.3065723673710238e-05,4.226216093725195e-05
Atezo,MDSIG-DB,BLCA,Logistic Regression,Area Under ROC Curve,<0.005,0.0002452616703379904,0.00034336633847318655
Atezo,IMPRES,BLCA,Logistic Regression,Area Under ROC Curve,<0.005,2.4149806249858257e-05,4.226216093725195e-05
Atezo,ALL,BLCA,Logistic Regression,Area Under ROC Curve,<0.005,1.0176514511429744e-07,7.123560158000822e-07
Atezo,IMM. FEAT,BLCA,Logistic Regression,Area Under ROC Curve,0.05644516880865083,0.05644516880865083,0.05644516880865083
Atezo,COSMIC,BLCA,Random Forest,Accuracy,0.8918629368078008,0.8918629368078008,0.95351110062499
Atezo,KEGG,BLCA,Random Forest,Accuracy,0.5466371899321849,0.5466371899321849,0.917122793417962
Atezo,CGL,BLCA,Random Forest,Accuracy,0.2029754512306977,0.2029754512306977,0.710414079307442
Atezo,MDSIG-DB,BLCA,Random Forest,Accuracy,0.3162534475114125,0.3162534475114125,0.7379247108599625
Atezo,IMPRES,BLCA,Random Forest,Accuracy,0.95351110062499,0.95351110062499,0.95351110062499
Atezo,ALL,BLCA,Random Forest,Accuracy,0.1999058909040784,0.1999058909040784,0.710414079307442
Atezo,IMM. FEAT,BLCA,Random Forest,Accuracy,0.6550877095842585,0.6550877095842585,0.917122793417962
Atezo,COSMIC,BLCA,Random Forest,Balanced Accuracy,0.7561030197419434,0.7561030197419434,0.7561030197419434
Atezo,KEGG,BLCA,Random Forest,Balanced Accuracy,0.03772301308904637,0.03772301308904637,0.08802036387444152
Atezo,CGL,BLCA,Random Forest,Balanced Accuracy,0.6971291617482525,0.6971291617482525,0.7561030197419434
Atezo,MDSIG-DB,BLCA,Random Forest,Balanced Accuracy,<0.005,6.404986965835748e-05,0.00044834908760850233
Atezo,IMPRES,BLCA,Random Forest,Balanced Accuracy,0.4038169260388764,0.4038169260388764,0.565343696454427
Atezo,ALL,BLCA,Random Forest,Balanced Accuracy,<0.005,0.001460349951841604,0.005111224831445614
Atezo,IMM. FEAT,BLCA,Random Forest,Balanced Accuracy,0.3198149819801035,0.3198149819801035,0.5596762184651811
Atezo,COSMIC,BLCA,Random Forest,Area Under ROC Curve,<0.005,5.009235669757356e-05,8.766162422075373e-05
Atezo,KEGG,BLCA,Random Forest,Area Under ROC Curve,<0.005,0.0011941407446347948,0.0013931642020739274
Atezo,CGL,BLCA,Random Forest,Area Under ROC Curve,<0.005,3.876834933731887e-06,9.045948178707737e-06
Atezo,MDSIG-DB,BLCA,Random Forest,Area Under ROC Curve,<0.005,6.890917196046459e-08,2.411821018616261e-07
Atezo,IMPRES,BLCA,Random Forest,Area Under ROC Curve,<0.005,0.00024527981200125984,0.00034339173680176377
Atezo,ALL,BLCA,Random Forest,Area Under ROC Curve,<0.005,9.287995833277978e-09,6.501597083294585e-08
Atezo,IMM. FEAT,BLCA,Random Forest,Area Under ROC Curve,0.06528948950848884,0.06528948950848884,0.06528948950848884
